instruction_term,count,cuisine
combined,4,mexican
made,4,mexican
nice,4,mexican
long,4,mexican
wooden,4,mexican
stock,4,mexican
wire,4,mexican
rolls,4,mexican
shallow,4,mexican
forks,4,mexican
finely,4,mexican
stick,4,mexican
wide,4,mexican
waxed,4,mexican
slowly,4,mexican
away,4,mexican
size,4,mexican
best,4,mexican
lettuce,4,mexican
tamal,4,mexican
skin,4,mexican
teaspoon,4,mexican
prepare,4,mexican
knife,4,mexican
pulp,4,mexican
grilled,4,mexican
scrape,4,mexican
substitute,4,mexican
thoroughly,4,mexican
dumplings,4,mexican
lined,4,mexican
halves,4,mexican
tray,4,mexican
line,4,mexican
pass,4,mexican
coriander,4,mexican
recipient,4,mexican
across,4,mexican
deepfry,4,mexican
coat,4,mexican
close,4,mexican
coffee,4,mexican
reserved,4,mexican
churros,4,mexican
inch,4,mexican
begins,4,mexican
want,4,mexican
covered,4,mexican
ancho,4,mexican
reheat,4,mexican
syrup,4,mexican
next,4,mexican
squeeze,4,mexican
whole,4,mexican
cheesecloth,4,mexican
spoonful,4,mexican
soaking,4,mexican
fried,4,mexican
verde,4,mexican
peppercorns,4,mexican
avocados,4,mexican
jalapeno,4,mexican
sharp,3,mexican
shape,3,mexican
crema,3,mexican
chilies,3,mexican
dollop,3,mexican
dissolved,3,mexican
bouillon,3,mexican
dutch,3,mexican
around,3,mexican
beat,3,mexican
sheets,3,mexican
baggie,3,mexican
pans,3,mexican
dark,3,mexican
jalapenos,3,mexican
cucumber,3,mexican
depending,3,mexican
knead,3,mexican
bread,3,mexican
room,3,mexican
preparing,3,mexican
enjoy,3,mexican
comes,3,mexican
bones,3,mexican
back,3,mexican
seed,3,mexican
granulated,3,mexican
crockpot,3,mexican
spatula,3,mexican
thickened,3,mexican
toasted,3,mexican
store,3,mexican
trim,3,mexican
pound,3,mexican
char,3,mexican
almonds,3,mexican
three,3,mexican
everything,3,mexican
instead,3,mexican
inserted,3,mexican
way,3,mexican
bundle,3,mexican
seasoning,3,mexican
batches,3,mexican
save,3,mexican
strainer,3,mexican
bell,3,mexican
couple,3,mexican
melted,3,mexican
give,3,mexican
pressing,3,mexican
ml,3,mexican
hand,3,mexican
boot,3,mexican
easily,3,mexican
coating,3,mexican
eat,3,mexican
cayenne,3,mexican
without,3,mexican
thinly,3,mexican
burn,3,mexican
chiltomate,3,mexican
plantain,3,mexican
chops,3,mexican
inside,3,mexican
turning,3,mexican
submerged,3,mexican
custard,3,mexican
weight,3,mexican
sauteing,3,mexican
chipotle,3,mexican
surface,3,mexican
spicy,3,mexican
sieve,3,mexican
tongs,3,mexican
tight,3,mexican
etc,3,mexican
measure,3,mexican
bay,3,mexican
pressure,3,mexican
possible,3,mexican
container,3,mexican
second,3,mexican
quart,3,mexican
still,3,mexican
glaze,3,mexican
flavor,3,mexican
keeping,3,mexican
excess,3,mexican
envelope,3,mexican
chantilly,3,mexican
vanilla,3,mexican
basket,3,mexican
beating,3,mexican
plates,3,mexican
uncovered,3,mexican
chop,3,mexican
juices,3,mexican
pitcher,3,mexican
mustard,3,mexican
edges,3,mexican
tarragon,3,mexican
tripe,3,mexican
amount,3,mexican
things,3,mexican
balls,3,mexican
chorizo,3,mexican
thermometer,3,mexican
flavors,3,mexican
mashed,3,mexican
extra,3,mexican
shred,3,mexican
white,3,mexican
arrange,3,mexican
lengthwise,3,mexican
harina,3,mexican
divide,3,mexican
arbol,3,mexican
gallon,3,mexican
end,3,mexican
pat,3,mexican
vegetables,3,mexican
hands,3,mexican
texture,3,mexican
ice,3,mexican
bubbles,3,mexican
youre,2,mexican
tie,2,mexican
lumps,2,mexican
pie,2,mexican
borders,2,mexican
stack,2,mexican
flakes,2,mexican
package,2,mexican
falloffthebone,2,mexican
approximately,2,mexican
cubes,2,mexican
paprika,2,mexican
turns,2,mexican
smoked,2,mexican
largest,2,mexican
stove,2,mexican
allspice,2,mexican
part,2,mexican
available,2,mexican
mushrooms,2,mexican
ones,2,mexican
queso,2,mexican
canola,2,mexican
clean,2,mexican
½inch,2,mexican
cheddar,2,mexican
¼,2,mexican
unmold,2,mexican
toward,2,mexican
negro,2,mexican
tostadas,2,mexican
resembles,2,mexican
invert,2,mexican
loosen,2,mexican
find,2,mexican
chosen,2,mexican
border,2,mexican
leeks,2,mexican
huitlacoche,2,mexican
fresco,2,mexican
comfortable,2,mexican
wok,2,mexican
opening,2,mexican
forming,2,mexican
ends,2,mexican
marjoram,2,mexican
chips,2,mexican
pin,2,mexican
briefly,2,mexican
tamarind,2,mexican
mashing,2,mexican
salad,2,mexican
crumbly,2,mexican
needs,2,mexican
aioli,2,mexican
used,2,mexican
soupy,2,mexican
fork,2,mexican
nonstick,2,mexican
mash,2,mexican
uses,2,mexican
bits,2,mexican
spreadable,2,mexican
fruit,2,mexican
duty,2,mexican
falling,2,mexican
curtidos,2,mexican
jar,2,mexican
sear,2,mexican
rehydrate,2,mexican
pickled,2,mexican
seal,2,mexican
remainding,2,mexican
falls,2,mexican
except,2,mexican
wine,2,mexican
tying,2,mexican
parmesan,2,mexican
forms,2,mexican
mojo,2,mexican
ajo,2,mexican
textured,2,mexican
mixer,2,mexican
blended,2,mexican
marcela,2,mexican
longer,2,mexican
middle,2,mexican
electric,2,mexican
flipping,2,mexican
bone,2,mexican
mild,2,mexican
floats,2,mexican
bag,2,mexican
walnuts,2,mexican
½,2,mexican
cooker,2,mexican
guajillo,2,mexican
charred,2,mexican
per,2,mexican
masher,2,mexican
apart,2,mexican
tomatillochipotle,2,mexican
pliable,2,mexican
working,2,mexican
theyll,2,mexican
solid,2,mexican
careful,2,mexican
ounces,2,mexican
mozzarella,2,mexican
quite,2,mexican
towel,2,mexican
sandwiches,2,mexican
nopalitos,2,mexican
tenderloin,2,mexican
sweet,2,mexican
round,2,mexican
leftover,2,mexican
cabrito,2,mexican
seafood,2,mexican
bed,2,mexican
worry,2,mexican
deepfryer,2,mexican
orange,2,mexican
banana,2,mexican
rinse,2,mexican
firm,2,mexican
piloncillos,2,mexican
spices,2,mexican
cooled,2,mexican
gas,2,mexican
tastes,2,mexican
nopal,2,mexican
mexicana,2,mexican
mediummesh,2,mexican
granules,2,mexican
watch,2,mexican
preferably,2,mexican
hold,2,mexican
repeating,2,mexican
crispy,2,mexican
start,2,mexican
added,2,mexican
degree,2,mexican
spaces,2,mexican
ground,2,mexican
cornstarch,2,mexican
adjust,2,mexican
raised,2,mexican
brush,2,mexican
formed,2,mexican
grain,2,mexican
weve,2,mexican
grind,2,mexican
coated,2,mexican
coals,2,mexican
monterey,2,mexican
jack,2,mexican
last,2,mexican
lift,2,mexican
papadzules,2,mexican
creamy,2,mexican
delicious,2,mexican
casserole,2,mexican
enchilada,2,mexican
youd,2,mexican
cutting,2,mexican
yield,2,mexican
board,2,mexican
seems,2,mexican
much,2,mexican
double,2,mexican
marinating,2,mexican
scramble,2,mexican
blacken,2,mexican
serrano,2,mexican
reserving,2,mexican
shoulder,2,mexican
rim,2,mexican
tsp,2,mexican
thickens,2,mexican
palms,2,mexican
roughly,2,mexican
day,2,mexican
continuously,2,mexican
softened,2,mexican
huskwrapped,2,mexican
finally,2,mexican
enchiladas,2,mexican
microwave,2,mexican
dinner,2,mexican
steaming,2,mexican
setting,2,mexican
separate,2,mexican
hominy,2,mexican
reduced,2,mexican
overlapping,2,mexican
drop,2,mexican
folded,2,mexican
transparent,2,mexican
beginning,2,mexican
show,2,mexican
loosely,2,mexican
crumble,2,mexican
begin,2,mexican
memelas,2,mexican
green,2,mexican
left,2,mexican
broil,2,mexican
dissolves,2,mexican
thickness,2,mexican
steamers,2,mexican
spots,2,mexican
continually,2,mexican
coast,2,mexican
scoop,2,mexican
x,2,mexican
shake,2,mexican
refrigerated,2,mexican
wax,2,mexican
tap,2,mexican
beaten,2,mexican
aromatic,2,mexican
optional,2,mexican
skins,2,mexican
lowmedium,1,mexican
covering,1,mexican
chamoy,1,mexican
potato,1,mexican
require,1,mexican
annatto,1,mexican
great,1,mexican
hourif,1,mexican
floaty,1,mexican
grandma,1,mexican
accompanied,1,mexican
reseason,1,mexican
reads,1,mexican
spice,1,mexican
even,1,mexican
finished,1,mexican
big,1,mexican
mince,1,mexican
insure,1,mexican
facilitate,1,mexican
person,1,mexican
salsas,1,mexican
baguette,1,mexican
mediumhot,1,mexican
paprikas,1,mexican
celsius,1,mexican
strawberry,1,mexican
sections,1,mexican
greatgrandma,1,mexican
sealing,1,mexican
scrub,1,mexican
spicier,1,mexican
grinder,1,mexican
reaching,1,mexican
stockpot,1,mexican
bivalve,1,mexican
capers,1,mexican
mortar,1,mexican
pestle,1,mexican
habaneros,1,mexican
west,1,mexican
mint,1,mexican
shell,1,mexican
browncolored,1,mexican
poultry,1,mexican
grilling,1,mexican
citrus,1,mexican
socalled,1,mexican
olives,1,mexican
popular,1,mexican
herb,1,mexican
foam,1,mexican
flatten,1,mexican
shells,1,mexican
palm,1,mexican
finish,1,mexican
highquality,1,mexican
local,1,mexican
circle,1,mexican
ricotta,1,mexican
quesadilla,1,mexican
notes,1,mexican
unavailable,1,mexican
america,1,mexican
central,1,mexican
goat,1,mexican
whites,1,mexican
raw,1,mexican
meatball,1,mexican
result,1,mexican
eventually,1,mexican
ceramic,1,mexican
looser,1,mexican
habanero,1,mexican
starches,1,mexican
limp,1,mexican
strained,1,mexican
gaping,1,mexican
occurs,1,mexican
shaping,1,mexican
catch,1,mexican
tomatohabanero,1,mexican
plum,1,mexican
unique,1,mexican
mediumsized,1,mexican
cleaned,1,mexican
yolks,1,mexican
tuna,1,mexican
bind,1,mexican
clam,1,mexican
unwrap,1,mexican
carve,1,mexican
medlow,1,mexican
pop,1,mexican
breaking,1,mexican
thyme,1,mexican
poblano,1,mexican
chuck,1,mexican
disca,1,mexican
blistered,1,mexican
bbq,1,mexican
job,1,mexican
arent,1,mexican
practice,1,mexican
choose,1,mexican
incorporated,1,mexican
think,1,mexican
lightest,1,mexican
rebeat,1,mexican
constant,1,mexican
wadded,1,mexican
husksones,1,mexican
entire,1,mexican
condensing,1,mexican
wider,1,mexican
cant,1,mexican
overlap,1,mexican
tiny,1,mexican
sturdy,1,mexican
surfaces,1,mexican
contact,1,mexican
doesnt,1,mexican
steady,1,mexican
runny,1,mexican
soda,1,mexican
constantly,1,mexican
screen,1,mexican
gradually,1,mexican
heavily,1,mexican
simmering,1,mexican
batch,1,mexican
highly,1,mexican
peels,1,mexican
usually,1,mexican
shortening,1,mexican
reconstituted,1,mexican
additions,1,mexican
½teaspoon,1,mexican
resteam,1,mexican
direct,1,mexican
twentyfour,1,mexican
protect,1,mexican
bottoms,1,mexican
collapsible,1,mexican
direction,1,mexican
expand,1,mexican
closely,1,mexican
feel,1,mexican
pack,1,mexican
wrapping,1,mexican
tuck,1,mexican
empty,1,mexican
theyre,1,mexican
pink,1,mexican
strings,1,mexican
secure,1,mexican
section,1,mexican
something,1,mexican
narrow,1,mexican
string,1,mexican
asian,1,mexican
tapering,1,mexican
upper,1,mexican
square,1,mexican
kettle,1,mexican
